n_backing,width
2.2966985378027758,6.991035376691511
2.302341630585307,6.827063752085351
2.217165195053274,6.7698716553132305
2.2722746075256004,6.863758334751962
2.1569977849923854,6.737147771305171
2.3915772745815906,7.194855100440467
2.297918773726797,7.055448404853138
2.2365041256702747,7.018779304281156
2.2552330283517903,6.939147835351379
2.2141223310706786,6.857892402310013
2.2714931720987233,6.926260882231259
2.3878061911935644,7.08004681898178
2.3092538908571925,7.005716105954672
2.3770811568267534,7.007150732126168
2.2642495312755297,6.963360704661682
2.288773860645018,6.8242800800696415
2.4404677612251584,7.176192218019762
2.2948130802979345,6.8495135053563905
2.2105976392316093,6.760850547313233
2.2781467080466102,6.861534537338735
2.1634549222160517,6.745443240750551
2.274346608661362,6.969764165715766
2.4123423761406855,7.267597711514116
2.2566528767953056,6.975095029830786
2.2268369468858715,6.847731667371663
2.22878624249577,6.804811543046819
2.3080365951738124,6.9052871829251625
2.3467684837022387,6.975992625277049
2.253098308438822,6.905329675578924
2.2916010382984044,6.831680329313669
2.2218767051876225,6.990605495955783
2.326149082286195,6.784137483873246
2.3531699701545885,6.926582587848595
2.3021851979105823,6.8692833717221795
2.2433999205184723,6.794462366053349
2.19929534946526,6.830822425260679
2.2098655315432576,6.8351099501603745
2.286614690853926,6.995160957214365
2.392231824785352,7.223810220318153
2.2985159002512416,7.041760802691117
2.238598131703059,6.7735447183749535
2.2588379770540175,6.7629977288218415
2.279526816638489,6.85659217487937
2.3359974370147394,6.891336384254129
2.2715826418195553,6.8981916241252605
2.2925119932141294,6.759725920700138
2.2096719081161518,6.9968656614835245
2.362037801904423,6.7926179289941615
2.343634074638343,6.914179540024163
2.3371243015974774,6.964784400791681
2.245855438609182,6.848084255073386
2.1884793554433895,6.829453175060961
2.172509803303224,6.8176017798936615
2.300804056135434,7.093235125764744
2.3952182695758126,7.240806187170421
2.2262487696715967,6.9003554529907
2.190668820941515,6.876084603176173
2.1847081278599565,6.766543679862644
2.2032149941529666,6.792254747926625
2.3803298445507215,6.988500089791489
2.226619639315493,6.882395708554015
2.2131493143427043,6.799277213907588
2.2202809697295494,6.99651077335362
2.3244617275495694,6.798122852660351
2.3151325585516496,6.872817056772146
2.2850351072688944,6.975437025309059
2.1928130810046085,6.752643026185453
2.1805761876658165,6.852240051938198
2.2566542622053185,7.079546443422886
2.2824478271149893,7.089029926044689
2.363050884797044,7.173506541943701
2.254986952917099,6.918177827148164
2.1367183679462225,6.883567332071101
2.182269626310331,6.764125272975594
2.216926122266116,6.89962562746226
2.399368249329167,7.002003193820968
2.1769443326320217,6.925616689734971
2.2500197786617213,6.77166523203373
2.2587290264573174,7.0136326434529055
2.3698360890828756,6.892287467322951
2.2822813857349806,6.802593997525391
2.3163316342432156,6.999327155124381
2.164060040230548,6.8836228039576195
2.2643497984217884,6.956806505179579
2.269047045457827,6.994466861141821
2.290225692069152,7.046552775637036
2.3430402933776313,7.266164296740079
2.2637617118784434,6.764182349582301
2.2904649258309777,7.000090416513411
2.1793293774234717,6.761227307003752
2.2322393653945762,6.945095639595033
2.3269532806172126,6.756475422663254
2.1743580857172784,6.875416890477057
2.347792715161041,6.833845039981003
2.2926240557189126,6.962616246485136
2.3286434259330817,6.909295035181509
2.3012241730407843,6.825809416641012
2.2975961441573065,6.925537892610556
2.177581432613117,6.875134372224296
2.229848460572339,7.01341362230108
2.284936970823484,7.036119118555524
2.31316080448857,7.064637192951567
2.301394370340901,6.938167212327839
2.2691333275946053,6.836421848690506
2.1423001566916353,6.809308595273864
2.248331687851936,6.872175919663864
2.1882935138107373,7.034774249572554
2.3245063734821976,6.8478849430719135
2.1333662631617827,6.902528868445219
2.361853931241717,6.778442530092998
2.329754135855667,6.9615738485352745
2.3657186746990795,7.0811172593928156
2.219542993656001,6.768726159023815
2.2365688149794907,6.80917196656268
2.2121810217033686,6.761595966745504
2.2121699923004052,6.956500828670103
2.2819456532413853,7.015024772202128
2.343756929803509,7.099296065936129
2.312072971077767,6.859446508376235
2.3682056072066056,6.882660921258912
