target,scan,energy_keV,n_backing,n_backing_error,mean,mean_error,std,std_error,alpha,alpha_error,chi2
IMP_LTA#4,Scan 1,340,2.3682487564422905,0.05276699983723051,4.5823557239734924,0.13159732762703566,4.269050387936569,0.17798198017599448,0.0,0.0,18.704433850178564
IMP_LTA#4,Scan 2,340,2.8334249017753073,0.04735451256959632,4.557551993718261,0.10787872100244353,4.304523900276921,0.14143374840445386,0.0,0.0,18.649756648154717
IMP_LTA#4,Scan 3,340,3.6346045796173203,0.061849390587024725,4.554617337215471,0.07942255257158942,3.7563579753187404,0.11221367984940293,0.0,0.0,18.940786265862734
IMP_LTA#4,Scan 4,340,4.634879005601482,0.1011662020709857,3.8346812521938345,0.11050661064883986,3.445978654035745,0.1473368298032199,0.0,0.0,18.630492285936214
IMP_LTA-Low#1,Scan 1,340,0.2947341978585488,0.008139098317624374,2.415723786256068,0.3549701249180453,5.833635533654834,0.27834775867344774,0.0,0.0,20.916499749483677
IMP_LTA-Low#1,Scan 2,340,0.20775103379944648,0.007500472367111769,2.4902611692914283,0.3998788526049797,6.264828148681237,0.3139838683491903,0.0,0.0,20.94854662542238
IMP_LTA-Low#1,Scan 3,340,0.29715945343309624,0.007628092320070241,3.361956370860491,0.25865604653654445,5.579208299289284,0.23876201080957196,0.0,0.0,20.932355610787333
IMP_LTA-Low#1,Scan 4,340,0.26950851074288074,0.0076247105089284894,2.484634377288301,0.3315927475318336,5.974499871098162,0.25451589038150413,0.0,0.0,35.95066899568891
IMP_LTA-Low#1,Scan 5,340,0.23253597809025972,0.020905764609733337,1.883493361276578e-12,0.002521553230680923,6.195042408697578,0.3623502562780902,0.0,0.0,22.977096910499498
IMP_LTA-Low#1,Scan 6,340,0.22124254902648077,0.0181685199521039,0.13176948460139393,0.5871173781097686,5.9779140113557085,0.33198567077839947,0.0,0.0,19.96179386472413
IMP_LTA-Low#1,Scan 7,340,0.2457318899098737,0.021399977447639124,5.8377515044227835e-08,1.178018467219415,5.797214737324848,0.3444139252925887,0.0,0.0,19.96135180484575
IMP_LTA-Low#1,Scan 8,340,0.27113447800752644,0.024931359150195533,0.007765166359191,0.7386747557002349,6.078381797711609,0.41092003448405656,0.0,0.0,19.968718997236834
IMP_LFE#1,Scan 1,340,0.7588096336152439,0.01733471700919877,5.619695462771067,0.06273058613111461,4.289536065330534,0.09962555232071184,0.0,0.0,24.579297847260225
IMP_LFE#1,Scan 2,340,0.662341559680979,0.03485754115865256,5.846167114478192,0.12372050171440378,3.8964411440827464,0.1927289575150735,0.0,0.0,21.934639341253124
IMP_LFE#1,Scan 3,340,0.5739950551028866,0.03280975819917731,5.912609032017784,0.12163639151219412,3.495055448580815,0.17999490501397408,0.0,0.0,24.90662535192303
IMP_LFE#1,Scan 4,340,0.5647487224799747,0.037967166475527905,6.093717206770229,0.16065681686013547,3.412232963736877,0.20912854022670657,0.0,0.0,20.96256982705436
IMP_LFE#1,Scan 5,340,0.46869792273117605,0.03025014374633018,6.1672651510084,0.09602133619466402,2.9794164566398202,0.13738076435473429,0.0,0.0,23.94672938351332
IMP_LFE#2,Scan 1,340,1.6512906331781303,0.021169802345538936,5.504893156527676,0.06743180876961691,4.804407829762797,0.08825433424039021,0.0,0.0,15.918888085110988
IMP_LFE#2,Scan 8,340,0.9823617142949448,0.08341047139622562,5.4935965230402415,0.15756103820334913,2.934168148072071,0.23555964823872316,0.0,0.0,17.988665514946593
IMP_LFE#3,Scan 1,340,2.3195565742493196,0.020985430300261718,6.053447679203945,0.03985673041387475,4.495349154456397,0.05847740631020115,0.0,0.0,16.902380604199465
IMP_LFE#3,Scan 2,340,2.3380983806092033,0.0523895666957337,6.5368011111514175,0.077015903816453,4.111375714006685,0.11822541931335909,0.0,0.0,20.80586083443943
IMP_LFE#3,Scan 3,340,2.043739932545365,0.042894656522779226,6.476607820930851,0.0670019285508444,3.9877503779773855,0.10410849012383551,0.0,0.0,20.922337205942686
IMP_LFE#3,Scan 4,340,2.0614128334086064,0.06818728815515662,6.10107286080618,0.1007770874203296,3.7849389516368666,0.15511941780435057,0.0,0.0,20.933843712074086
IMP_LFE#3,Scan 5,340,1.846322383059158,0.09517288435018798,5.946156134673213,0.13232647650915402,3.4523567050478503,0.20492937215621257,0.0,0.0,20.975973977008877
IMP_LFE#3,Scan 6,340,1.610968476019633,0.10568941968594883,5.544983809029206,0.1470310450240833,3.1680039456552973,0.22831236557394427,0.0,0.0,20.97581573886947
IMP_LFE#3,Scan 7,340,1.6314349065570362,0.10134658791479167,5.637659593789141,0.13418252263766894,3.105771532021709,0.20787391133702474,0.0,0.0,20.9712852721451
IMP_LFE#3,Scan 8,340,1.7179360174903435,0.12862177686504953,5.3763379508295905,0.1592214568798309,3.0076194701447982,0.24714257664742625,0.0,0.0,20.97801560785952
IMP_LFE#3,Scan 9,340,1.6560956616963152,0.08781490589548431,5.656246861088579,0.10323968962359989,2.913560890897692,0.16028548414208263,0.0,0.0,20.945894493071552
IMP_LFE#3,Scan 10,340,1.8356633101921738,0.11700541731735624,5.555840988030399,0.13572378274880836,3.014805465183095,0.21104988819077566,0.0,0.0,20.97924129997448
IMP_LFE#3,Scan 11,340,1.7325634843567324,0.11961080084189318,5.391921740411102,0.14151038483325998,2.9645294605378183,0.2215501100402848,0.0,0.0,20.971308844708794
IMP_LFE#3,Scan 12,340,2.088886959467287,0.09237617710393214,5.868753405596445,0.11879554269925506,3.4880633962760634,0.18477275490298162,0.0,0.0,20.955872303375763
IMP_LFE#3,Scan 13,340,1.7401575380239542,0.1125592274245112,5.477010263282796,0.13287277942545547,2.952651818040854,0.20583844261330606,0.0,0.0,20.9186326500425
IMP_LFE-Low#1,Scan 1,340,0.3419051976153481,0.01699695862493498,2.1534518437712795,0.46194689885314105,4.499533162996203,0.3488035474138484,0.0,0.0,23.99147244725069
IMP_LFE-Low#1,Scan 2,340,0.3743567891850236,0.013867527728470368,3.040141624863211,0.20594407141262477,3.922537235465481,0.196094060830662,0.0,0.0,22.966807248115494
IMP_LFE-Low#1,Scan 3,340,0.4232160179346284,0.012072832557371713,3.1211430635611563,0.15302728306076507,3.9011995808859585,0.15703465233766992,0.0,0.0,20.971567074109217
IMP_LFE-Low#1,Scan 4,340,0.39810939936924306,0.01390275226843359,3.0353130587065467,0.1713750131762634,3.7485467169908335,0.17858453605690208,0.0,0.0,21.979174893932218
