n_backing,mean,std
1.1441115396557877,1.7580925653456778,6.593724780048839
1.1773728281288116,1.5782166277785037,6.9479400397353
1.0887944424695257,1.7642333992792032,6.589363650667822
1.19131606643487,1.4771774854119906,6.985799339032591
1.1876834932908786,1.760317070158634,6.785521821124124
1.1434694755737465,1.6264640743275576,6.910288716982479
1.1668779374172218,1.6743138526336256,6.872429652495882
1.1604466438563406,1.6592200483260413,6.917855105268952
1.1882666869568221,1.668088704793715,6.726110188701822
1.213896488283353,1.6379608952045637,6.996704241441697
1.1223286896194613,1.7119407927407846,6.602794310216517
1.1316762475590203,1.4725950536157772,6.839902509947592
1.1467167541044192,1.6853590995546144,6.745331647257039
1.156951001793896,1.6062067329585445,6.598875174923152
1.2203449190909934,1.4425449925767664,7.1221812942647444
1.1936191992094325,1.5957261512618166,6.929869607036909
1.1545739583057464,1.613838240077429,6.711339099429874
1.1841974818950787,1.5523318185697028,6.9751681845882905
1.0844325345820234,1.790044653394107,6.5649109089813615
1.165221789949065,1.4159658471929044,6.906788258633541
1.16892762880046,1.787254633838972,6.812032940099664
1.1434617615921898,1.663033590773232,6.902097226350295
1.0977422943949655,1.7142091420825796,6.577830509378895
1.1372488087093384,1.7468777250695822,6.8351995479395775
1.1914878914513916,1.6559238305976434,6.788874381733288
1.2185097848399538,1.6134638525906688,7.0259809661627335
1.0847694014316394,1.7110389665939478,6.404052060174906
1.1406072827090996,1.5021275405390695,6.782907286577341
1.0934080600601177,1.828183871000376,6.47662241614607
1.1331717207718879,1.6628015056060679,6.623858691841674
1.191580774903326,1.5258583587290566,6.936482026938474
1.1707147446750528,1.5752215847082514,6.908397021474516
1.1750204088684981,1.5773806525902199,6.748217610905525
1.2119601637245954,1.494350139246227,7.097153987892057
1.098162786600159,1.721762382229492,6.626287615817043
1.1857028867143309,1.440193402068461,6.976049581709684
1.1465444370520237,1.9442098439726674,6.693102956514232
1.1667407880124074,1.6732110153832256,6.98316673097171
1.1340470892799352,1.7282714673632378,6.650499420218743
1.15779307828253,1.6519190700336253,6.944212796574733
1.1755176527011688,1.758693991096409,6.631378816021901
1.2378643578445456,1.5873208272911097,7.146154091062054
1.0905468345023042,1.8013428755830807,6.403404634377142
1.1328687915263758,1.6162868214923214,6.666849859774141
1.0889266594345215,1.8069752335962972,6.463907556533731
1.1003438373631294,1.909439299026325,6.3530912586945725
1.1988003309880142,1.4320307347502168,7.031375695852661
1.1659440204397067,1.5467058581477287,6.902174087102981
1.173244336695856,1.5568024938952854,6.716726340010154
1.2256699183080129,1.4376900927705685,7.232183430546028
1.1082887549320553,1.733736827264482,6.632983113107059
1.205638933663595,1.4922948350862015,7.093598495356488
1.1542475973810342,1.908382030722601,6.736402764677147
1.160709089449611,1.7512037093839328,6.860101224167844
1.1538800614383191,1.781929338048118,6.695914872785712
1.193442280422511,1.501101128969541,7.277091321224538
1.1740769524154233,1.6645148743650486,6.745492431253795
1.2034953373657649,1.7174534738249698,6.977281810399391
1.1107212134176103,1.8189372532221926,6.505925206419799
1.1314639234918633,1.6269410437431995,6.64850254089924
1.0980951453362695,1.6425826497852678,6.650500839042843
1.1253737215046207,1.7661495622606551,6.5293252351311555
1.185778563250781,1.5422988313504473,6.906671211918071
1.2258532165835208,1.4968289823545755,7.232487251860391
1.1745918360519139,1.603390104954032,6.633836168734296
1.1558068905031604,1.6144836967109357,6.831819793421876
1.1401684504502485,1.6902231817614723,6.863674799346043
1.1920365704198044,1.5828183784582568,6.955386857490507
1.1755513453423978,1.7087577061530954,6.857304232803511
1.1743143774700355,1.6569149916829757,6.940546297706141
1.150292275935529,1.6892285638248992,6.805643162348565
1.1974259388410853,1.4768647015364509,7.280528530844178
1.1746906671826454,1.6040363906247461,6.919389209832931
1.22145351466641,1.5686758127033704,7.06311234174632
1.112441038226662,1.824077861582922,6.547979961773877
1.157542340567092,1.5557244530297805,6.783963587162484
1.139864295327391,1.63162691718716,6.787312144063984
1.1414329493471194,1.7243961717998677,6.602410094883374
1.2017055869303817,1.564640186548276,7.047114156026038
1.2525447783789727,1.4430419765416562,7.368597276449308
1.2008880658255476,1.5840129672916823,6.882220492588003
1.1373401910598078,1.5802710744854527,6.758946411433343
1.1155112396284872,1.7561958405209466,6.604083115558198
1.2214747623112385,1.555798886187499,7.0638037924949355
1.134615715815204,1.7827911710351738,6.654793115420652
1.1089121303451968,1.7790629894492607,6.726175318606232
1.1515120261694125,1.73842201056032,6.805002493346224
1.133984994566531,1.5891213570783735,7.029410731891569
1.2143140401123451,1.4082961134640657,7.164672135396321
1.2266850580500854,1.5999568132112383,7.089435113862368
1.1185251811670982,1.80317928640145,6.5887162925550555
1.1557612857387085,1.6022934445393624,6.779925137902724
1.079945105203701,1.6745432963066635,6.568767406139073
1.1501073461053828,1.7501262134042093,6.767105123626324
1.201724619411989,1.6208709461300097,6.987076221617287
1.1885568597233356,1.5583389817611069,7.086608957163391
1.2125875120637608,1.6145111410721698,7.07191728889728
1.1511842482691015,1.4588217983403726,6.773921556947821
1.0726031200950854,1.7969048207598493,6.394244879404969
1.195240205455979,1.613424914462904,6.981537542715334
1.1393024751295475,1.7435929926165938,6.674369019249205
1.0872131686526227,1.8671223169032012,6.693808902494141
1.1363965907263418,1.7445332428610112,6.789467976808396
1.1539828286583977,1.6318403019875238,6.9043729947375905
1.1949236940401007,1.5184398718363317,7.146244581482861
1.2043101046022675,1.5808530583840366,7.029094116658429
1.1357607613723235,1.7902228627258314,6.607173571364015
1.1333822638195792,1.6317650659656777,6.572014203030445
