PHYSICAL LEVEL PARAMETERS (BOUNDARY CONDITION SET TO SHIFT AT E_LEVEL)

J = 0.0-  E_level =  25.0000 MeV  ITERATIONS =     0
  R =  5  l =   2  s =  3.0  C  =     0.000000 fm^(-1/2)  g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   4  s =  3.0  C  =     0.000000 fm^(-1/2)  g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  6  l =   3  s =  3.0  G  =    10.924800 eV         g_int =     0.200663 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  7  l =   2  s =  2.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  8  l =   1  s =  1.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  9  L =  M1  s =  2.0  G  =     2.902240 eV         g_int =     0.121543 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  9  L =  E2  s =  2.0  G  =   378.082000 meV        g_int =     0.804333 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 

J = 1.0+  E_level =  12.8550 MeV  ITERATIONS =     0
  R =  1  l =   0  s =  1.0  G  =     0.000000 meV        g_int =     0.214690 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  1  l =   2  s =  1.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  4  l =   1  s =  0.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  4  l =   1  s =  1.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   2  s =  2.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   2  s =  3.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   4  s =  3.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  6  l =   3  s =  3.0  G  =   252.005000 eV         g_int =    -0.200528 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  7  l =   2  s =  2.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  8  l =   1  s =  1.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  9  L =  M1  s =  2.0  G  =     2.059970 eV         g_int =    -0.076661 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  9  L =  E2  s =  2.0  G  =     1.089960 eV         g_int =     0.980601 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 

J = 1.0+  E_level =  13.1679 MeV  ITERATIONS =     0
  R =  1  l =   0  s =  1.0  G  =    35.800000 eV         g_int =     0.273216 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  1  l =   2  s =  1.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  4  l =   1  s =  0.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  4  l =   1  s =  1.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   2  s =  2.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   2  s =  3.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   4  s =  3.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  6  l =   3  s =  3.0  G  =     2.099120 keV        g_int =     0.315956 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  7  l =   2  s =  2.0  G  =     7.669720 eV         g_int =    -0.064119 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  8  l =   1  s =  1.0  G  =    63.873400 eV         g_int =     0.216201 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  9  L =  M1  s =  2.0  G  =   104.007000 meV        g_int =    -0.017374 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  9  L =  E2  s =  2.0  G  =    13.448800 meV        g_int =    -0.106880 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 

J = 1.0+  E_level =  13.3039 MeV  ITERATIONS =     0
  R =  1  l =   0  s =  1.0  G  =    12.100000 eV         g_int =     0.046754 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  1  l =   2  s =  1.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  4  l =   1  s =  0.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  4  l =   1  s =  1.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   2  s =  2.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   2  s =  3.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   4  s =  3.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  6  l =   3  s =  3.0  G  =   612.362000 eV         g_int =     0.128312 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  7  l =   2  s =  2.0  G  =    17.658000 eV         g_int =     0.059835 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  8  l =   1  s =  1.0  G  =   198.322000 eV         g_int =    -0.214304 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  9  L =  M1  s =  2.0  G  =    23.978700 meV        g_int =     0.007826 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  9  L =  E2  s =  2.0  G  =   192.673000 meV        g_int =     0.375117 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 

J = 1.0+  E_level =  13.4786 MeV  ITERATIONS =     0
  R =  1  l =   0  s =  1.0  G  =     6.366180 keV        g_int =     0.464087 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  1  l =   2  s =  1.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  4  l =   1  s =  0.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  4  l =   1  s =  1.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   2  s =  2.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   2  s =  3.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   4  s =  3.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  6  l =   3  s =  3.0  G  =    87.452200 eV         g_int =    -0.038459 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  7  l =   2  s =  2.0  G  =     3.899510 eV         g_int =     0.018114 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  8  l =   1  s =  1.0  G  =    22.563800 eV         g_int =     0.042842 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  9  L =  M1  s =  2.0  G  =     1.515930 eV         g_int =     0.063479 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  9  L =  E2  s =  2.0  G  =     0.093429 meV        g_int =    -0.008302 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 

J = 1.0+  E_level =  13.7300 MeV  ITERATIONS =     0
  R =  1  l =   0  s =  1.0  G  =     5.724000 keV        g_int =     0.281537 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  1  l =   2  s =  1.0  G  =     4.657170 keV        g_int =     1.642718 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  4  l =   1  s =  0.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  4  l =   1  s =  1.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   2  s =  2.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   2  s =  3.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   4  s =  3.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  6  l =   3  s =  3.0  G  =   592.320000 eV         g_int =     0.093973 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  7  l =   2  s =  2.0  G  =   242.354000 eV         g_int =     0.106882 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  8  l =   1  s =  1.0  G  =     1.163040 keV        g_int =     0.213007 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  9  L =  M1  s =  2.0  G  =    13.147300 meV        g_int =    -0.007550 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  9  L =  E2  s =  2.0  G  =     7.729950 eV         g_int =    -2.986263 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 

J = 1.0+  E_level =  25.0000 MeV  ITERATIONS =     0
  R =  1  l =   0  s =  1.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  1  l =   2  s =  1.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  4  l =   1  s =  0.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  4  l =   1  s =  1.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   2  s =  2.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   2  s =  3.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
  R =  5  l =   4  s =  3.0  G  =     0.000000 meV        g_int =     0.000000 MeV^(1/2)   g_ext =  (0.000000,0.000000) MeV^(1/2) 
