### Start time: 2026-02-21 10:52:44.751287 ###
# Time(s)	Ch0(uA)	Ch1(uA)	Ch2(uA)	Ch3(uA)
3.29082580e+01	-1.068e-02	2.620e+01	-2.058e-03	-3.257e-03	
3.34121420e+01	-1.145e-02	2.611e+01	-1.441e-03	-3.528e-03	
3.39171419e+01	-1.141e-02	2.612e+01	-1.290e-05	-3.295e-03	
3.44220991e+01	-1.242e-02	2.608e+01	9.824e-04	-3.613e-03	
3.49265890e+01	-1.031e-02	2.612e+01	-2.370e-04	-3.592e-03	
3.54322870e+01	-1.132e-02	2.607e+01	-1.447e-03	-4.401e-03	
3.59377489e+01	-1.074e-02	2.612e+01	2.508e-04	-3.828e-03	
3.64426060e+01	-9.768e-03	2.598e+01	-1.250e-03	-4.652e-03	
3.69477029e+01	-1.119e-02	2.612e+01	-7.069e-04	-5.420e-03	
3.74540260e+01	-9.870e-03	2.610e+01	-1.979e-03	-5.170e-03	
3.79585810e+01	-1.109e-02	2.608e+01	-7.155e-04	-4.463e-03	
3.84633460e+01	-1.112e-02	2.615e+01	-4.668e-04	-3.572e-03	
3.89688251e+01	-1.055e-02	2.613e+01	-3.408e-04	-3.885e-03	
3.94742889e+01	-1.029e-02	2.611e+01	-9.806e-05	-4.895e-03	
3.99797981e+01	-1.020e-02	2.606e+01	-1.464e-04	-4.661e-03	
4.04849350e+01	-1.027e-02	2.613e+01	-8.867e-04	-5.963e-03	
4.09901700e+01	-1.083e-02	2.610e+01	-6.997e-04	-4.495e-03	
4.14952080e+01	-1.022e-02	2.612e+01	-2.082e-03	-3.703e-03	
4.19997470e+01	-1.043e-02	2.616e+01	-2.025e-03	-4.940e-03	
4.25057361e+01	-9.414e-03	2.611e+01	-2.666e-03	-4.510e-03	
4.30109961e+01	-1.175e-02	2.611e+01	-1.541e-03	-4.441e-03	
4.35164030e+01	-1.059e-02	2.611e+01	-1.590e-03	-4.776e-03	
4.40211310e+01	-1.073e-02	2.614e+01	-1.532e-03	-4.737e-03	
4.45261321e+01	-1.160e-02	2.606e+01	-4.570e-04	-3.885e-03	
