Run Number,Scan,Energy,Yield,Yield Error
1838,Scan 4,252.8526943,2.334374007528449,0.017725901301453767
1839,Scan 4,248.8715479,3.480611370595764,0.02646795355482252
1840,Scan 4,246.8839546,4.359993032134448,0.017602381642490558
1841,Scan 4,244.8904015,5.796287171754142,0.03073450879934107
1842,Scan 4,242.8958551,7.781810489954565,0.04150077596405977
1843,Scan 4,240.9152149,10.29010216615182,0.03888709779715147
1844,Scan 4,238.9216618,11.32147802642576,0.04272438380764876
1845,Scan 4,236.9271154,15.041599728359778,0.05639375229304244
1846,Scan 4,238.9216618,11.369738132451774,0.04333947661780417
1847,Scan 4,234.9335623,18.72964371161605,0.06391067204876014
1848,Scan 4,232.9390159,22.813224480803665,0.0719642174975261
1849,Scan 4,230.9454628,26.494106067495625,0.08171046397558197
1850,Scan 4,228.9509164,28.313109202327396,0.09571140354931658
1851,Scan 4,226.9573633,21.193446710046477,0.06579373145410868
1852,Scan 4,227.9645695,27.565570779762535,0.08203130710938765
1853,Scan 4,228.9509164,28.105395616605986,0.08930722183693486
1854,Scan 4,229.9511695,27.616002678580315,0.10185484609894807
1855,Scan 4,228.9578695,28.110443430760903,0.10316401627226666
1856,Scan 4,225.96307,9.873026971715001,0.036578810951747184
1857,Scan 4,224.96977,3.486204223904476,0.01881249320087566
1858,Scan 4,223.9695169,1.6068816529535233,0.013607871672043997
1859,Scan 4,221.9749705,0.767572788573559,0.012816040811394881
1860,Scan 4,219.9883705,0.4987123623351077,0.008216565527177103
1861,Scan 4,217.986871,0.36425740126122425,0.009013953066882812
1862,Scan 4,238.0276918,12.649433136490877,0.03206954398231231
1863,Scan 4,240.028198,10.476440264709833,0.03949102135758173
1864,Scan 4,241.021498,9.911062416179035,0.03772885605216489
1865,Scan 4,242.0227444,8.640768140011335,0.022935467700741174
1869,Scan 5,258.9098377,1.8730669818764065,0.021634084382516613
1870,Scan 5,256.9232377,1.8206864998413157,0.01616552956551615
1871,Scan 5,252.9480511,2.2402457150530712,0.01948924152879524
1872,Scan 5,248.9669047,3.2207689586278363,0.02409537852330325
1873,Scan 5,246.9793114,4.190861466327657,0.032063322523558084
1874,Scan 5,244.9857583,5.567549909626201,0.02995558507590871
1875,Scan 5,243.0051181,7.484661286215476,0.03528224762788012
1876,Scan 5,241.0105717,9.814870007177586,0.042858059860765595
1877,Scan 5,239.0100655,10.535347979166287,0.0399367156558599
1878,Scan 5,237.0224722,14.219293073183186,0.054084522431381635
1879,Scan 5,235.0289191,18.29738786899076,0.057636786989025475
1880,Scan 5,233.0343727,22.958964314446042,0.08766731822479276
1881,Scan 5,231.0467794,27.688902101424016,0.09095995024388988
1882,Scan 5,229.0532263,28.22375931618847,0.08764212884851508
1883,Scan 5,227.0557,21.558615843860593,0.0815947196975775
1884,Scan 5,226.0624,10.00790138002716,0.05156657251612353
1885,Scan 5,225.0651268,3.529084689597759,0.026737024610813023
1886,Scan 5,224.0648737,1.6370598299659673,0.01939557220264377
1887,Scan 5,222.0703273,0.7526303790673774,0.011077680726994889
1888,Scan 5,220.0837273,0.4904149184870655,0.008464240648583128
